"id","practice","false_positive_rate"
1,"Selective reporting DV",0.11
2,"Selective reporting DV",0.1
3,"Selective reporting DV",0.1
4,"Selective reporting DV",0.12
5,"Selective reporting DV",0.13
6,"Selective reporting DV",0.1
7,"Selective reporting DV",0.13
8,"Selective reporting DV",0.13
9,"Selective reporting DV",0.14
10,"Selective reporting DV",0.15
11,"Selective reporting DV",0.15
12,"Selective reporting DV",0.16
13,"Selective reporting DV",0.17
14,"Selective reporting DV",0.17
15,"Selective reporting DV",0.18
16,"Selective reporting DV",0.21
17,"Selective reporting DV",0.21
18,"Selective reporting DV",0.21
19,"Selective reporting DV",0.22
20,"Selective reporting DV",0.22
21,"Selective reporting DV",0.22
22,"Selective reporting DV",0.24
23,"Selective reporting DV",0.35
24,"Selective reporting DV",0.35
25,"Selective reporting DV",0.36
26,"Selective reporting DV",0.4
27,"Selective reporting DV",0.4
28,"Selective reporting DV",0.41
29,"Selective reporting DV",0.41
30,"Selective reporting IV",0.08
31,"Selective reporting IV",0.08
32,"Selective reporting IV",0.09
33,"Selective reporting IV",0.09
34,"Selective reporting IV",0.1
35,"Selective reporting IV",0.1
36,"Selective reporting IV",0.1
37,"Selective reporting IV",0.11
38,"Selective reporting IV",0.11
39,"Selective reporting IV",0.12
40,"Selective reporting IV",0.12
41,"Selective reporting IV",0.13
42,"Selective reporting IV",0.13
43,"Selective reporting IV",0.13
44,"Selective reporting IV",0.14
45,"Selective reporting IV",0.16
46,"Selective reporting IV",0.16
47,"Selective reporting IV",0.16
48,"Selective reporting IV",0.17
49,"Selective reporting IV",0.19
50,"Selective reporting IV",0.2
51,"Selective reporting IV",0.22
52,"Selective reporting IV",0.23
53,"Selective reporting IV",0.24
54,"Selective reporting IV",0.24
55,"Selective reporting IV",0.27
56,"Selective reporting IV",0.28
57,"Selective reporting IV",0.29
58,"Optional stopping",0.09
59,"Optional stopping",0.1
60,"Optional stopping",0.1
61,"Optional stopping",0.12
62,"Optional stopping",0.15
63,"Optional stopping",0.16
64,"Optional stopping",0.17
65,"Optional stopping",0.18
66,"Optional stopping",0.22
67,"Optional stopping",0.23
68,"Optional stopping",0.26
